name,uiid,playtime,xp,level,money,driven,drift,skill,created_at
Jaquavion,5UGFNLMbo9hRMsgpmh6ejc4PKxk1,22141633,3704,26,1979,845216.8200000002,440619.158,40.82880981146982,2023-09-19T16:34:20.316Z
Tyrell,clqwmjr5305b2rp0h0lnfjjex,7832663,2289,19,1413,333706.6699999999,101592.172,49.77383342127825,2024-01-02T17:29:37.575Z
drunk-roman,clqov1ytn033crp0hznmz52fo,7280141,2043,18,1377,316132.0999999999,68612.4572,48.97219133567046,2023-12-28T07:05:34.860Z
Enoch0,clqjfmarm017npv0in8rx827w,12378141,2545,21,1736,498967.7499999999,3057.470466,41.82909110078182,2023-12-24T11:54:38.723Z
Brian O'Conner,hiqxq9UKO3QrHUW4zCyarMTtRDN2,10756168,3575,25,2098,469148.7099999998,247722.94,35.9458124441084,2023-12-11T22:36:54.646Z
Safynator,dwASMUdnO0NfCJtvcQ11L3yDqcW2,20917317,6407,35,3055,917518.07,477794.42,39.32358102891722,2023-10-24T13:45:22.467Z
Cortez,clqz9ucg3075brm0ifh86bmyc,8032398,1760,17,1371,319757.91,4317.09141,46.69198232066999,2024-01-04T13:57:15.268Z
Niven4,clpr1490y0039r90ihjt88ul9,14946816,3207,24,2069,627097.0499999999,80375.5896,30.10310329491504,2023-12-04T14:51:09.106Z
TORETTO,5aBARWY4GJdYLwKdAhTEzwEIex22,14610698,3966,27,2115,624413.23,234448.649,48.40760296285831,2023-11-03T12:17:30.010Z
pandajuice,YuaPEfqzt6RmQU02QTYskGXKVqV2,8968968,3302,24,1863,391475.91,233582.48,47.98608707323069,2024-01-03T18:39:49.948Z
lenwood,clqhxsabx00qcpv0isml6ls4n,9039825,1965,18,1436,379876.6499999999,34739.47900000001,42.81762473117492,2023-12-23T10:47:38.829Z
sam,236990569497362432,8257312,2698,21,1817,369871.8899999999,196541.68,35.21350447093981,2023-03-01T07:06:08.702Z
momslayer_21,osoAW5pyfBee3OLJUCDlb7sOCtV2,7771566,1939,18,1394,329450.61,63390.935,25,2023-09-22T13:42:46.388Z
noyzツ,vzigaYfLT1dXzbGxnERfCQlIsw52,6693395,1840,17,1287,284009.3700000001,84500.66100000001,22.03516447978005,2023-11-25T14:53:03.392Z
TrxshAdrixn,iQlQKQm2RWW1WkOlSbi73r7DVHh2,6164581,2212,19,1425,268672.49,148698.15,25,2023-10-06T19:22:34.844Z
T_T,eVNrTKKAcHT15JbZXqU7AfQHJoi1,11714945,2523,21,1694,462587.5720000002,238721.5435,25,2023-09-10T16:20:44.890Z
Leggat149,clqk8zai401morp0hq5v1me6b,4827326,1510,15,1102,206896.55,64719.556,41.69293683729135,2023-12-25T01:36:33.772Z
Lofty-Danny,clqbypx97001hrq0ingbui2zt,8085182,2653,21,1518,342188.3599999999,183160.55,36.70379130539798,2023-12-19T06:27:11.131Z
Guest4427046,clpgs1kta0132rb0jfc3eq6re,13714945,4256,28,2269,597667.6099999996,236465.18,38.87729153483592,2023-11-27T10:39:26.111Z
Deven,GabttRHhmYTVB64E2404ow9QLu52,5363114,1728,16,1100,231211.97,89997.44600000001,48.84187888731166,2023-10-06T20:36:31.547Z
NoahGanón,smM7AJ5fWKhRg58YQ3BgQNqxan03,12531010,3537,25,2006,549498.1500000001,244397.494,36.7574212393861,2023-10-23T16:24:59.905Z
Big Willy,wd3HZhQtbtXnGZM2CQd4PDIcEGo2,17612425,4254,28,2681,746686.58,169739.0769999999,49.13834435632947,2024-01-08T14:59:46.593Z
Felton579,clqmu38si02edrp0h6f1dj05j,7506141,1684,16,1191,326053.9400000001,40229.21822899999,41.66320523425278,2023-12-26T21:03:02.467Z
longoria,clqcjq1xe00furw0ioqoaj26j,9248641,1675,16,1454,360532.2499999999,61.3722,33.64788380678016,2023-12-19T16:15:09.122Z
Krys,241905771720343552,3849242,1644,16,1093,168362.98,118495.09,48.83023909858824,2023-10-23T19:09:17.867Z
Aaron.A.D,m6WIR77LZ7YhrxYwmJhhqsTWq7o1,8389928,2232,19,1414,356130.5000000001,120147.232,37.94969105022906,2023-10-17T06:29:00.552Z
jacquezmattress,gL53Vdz18NN5x061sosOA9JSnE92,8451113,2200,19,1346,340903.49,126289.876,33.73537840947657,2023-10-10T16:12:18.562Z
Raw.Spencer,clqwi9lku059arp0hjb95bucx,3753415,934,11,831,161763.02,0,53.87955718900179,2024-01-02T15:29:45.343Z
Legal_Tyron,clqvgil9r051brp0hwxoc4ni0,6491074,1455,15,1159,276979.96,22560.22216,44.49126631405785,2024-01-01T21:52:59.439Z
boar,clqlk2mxa01wgpv0i2vd48hz0,6168873,1833,17,1192,263218.6499999999,105784.238,42.52897938775956,2023-12-25T23:34:51.791Z
Caleb,clqccv3ne0069rq0i0kio2pqs,6020229,1277,14,1558,251443.3100000001,6343.817700000001,40.09811156704946,2023-12-19T13:03:07.323Z
torrid.Boyd,clq8d6dq700wbrh0knrr9zufm,5689627,1350,14,985,234852.83,30100.1558,32.23262350084294,2023-12-16T18:00:48.895Z
BluesBro,vxSN8a9i2pdkMvyKKofdgs7P1Gu1,17850197,2259,19,1404,624010.0636038997,258943.716,24.71300732242845,2023-09-11T17:09:08.679Z
Edwin7,clr135jk600i2so0ipah6ip6p,3721093,1161,13,813,160035.67,49961.89,50.43417086839985,2024-01-05T20:25:32.742Z
Cocgobbler,7mBw7LO4I6eK7loBCyLs4PZ322j1,5826914,1669,16,1078,240751.58,88565.107,41.03955301943025,2023-12-11T21:29:26.406Z
IntrovertIRL,kyqlhGN3hyf5yIwbQVpz7nCTIsE3,18011874,3186,24,1630,801663.0299999999,580419.8600000002,44.75487249255408,2023-06-06T14:26:06.905Z
Hognut,clrcu5g5w05gaoy0i28fh4riv,3675938,904,11,1332,149707.12,11853.524,34.60840147844486,2024-01-14T01:46:45.909Z
AlexML10,928P414ipdbRtoNzkkCB00agvRD3,14519080,1857,17,1589,569596.6529999999,262451.1251,25,2023-05-13T19:28:56.042Z
Creep,esKkjSwZ9qde45V3LmxY9uuhYGn2,5734735,1489,15,1035,246005.16,51428.99690000001,30.4184512819933,2023-12-14T14:48:07.743Z
UpwArd_bAun,clpt3d4qo00ddr90itscls2ss,5244486,1227,13,902,215234.07,35988.398,31.02482008443818,2023-12-06T01:29:35.040Z
bartuss9252,V48Im6fRAfgFem2siVX8YrZGKhn2,7566660,2512,21,1537,337480.1599999999,165525.95,35.85237353846988,2023-10-24T10:38:01.201Z
defnotwilliam,e8xs2YzujUXxyNELlYxQ9lxhLh82,14409420,4176,28,2236,604720.5700000002,318332.6659999999,33.76649055025538,2023-11-01T23:15:29.076Z
29-Diego,clqjfmmhv017spv0ivk3nkove,13734892,2371,20,1844,551259.0900000002,1608.83092,37.8383613643882,2023-12-24T11:54:53.923Z
darryl0,clps7pv2z0084r90i0be44khz,7256377,1864,17,1272,317042.24,73029.26000000001,37.22893362719828,2023-12-05T10:43:41.339Z
balzakistan,yCM6C9AKV4hNuzo0A6uCW3hPfil2,5452226,1403,14,1018,221822.58,119554.432,27.42361965464896,2023-06-28T13:31:49.967Z
proven-alec,clr7h76ge01uood0juor0tva3,5314959,1934,18,1198,228728.14,151190.96,40.90648745365905,2024-01-10T07:45:20.751Z
rasla,clqtia14600grpv0i4qvfd7ok,5489747,1803,17,1078,234452.19,130280.94,44.51635062985947,2023-12-31T13:06:46.950Z
shon65,clqmm3z900310rm0ise6y65m2,4381866,1215,13,882,186166.22,46924.696,48.10125349366674,2023-12-26T17:19:39.828Z
Guest3499511,clnbef3wz008vqy0irn8jzw1m,9099253,2401,20,1758,385689.1899999999,109175.635,40.42590872707141,2023-10-04T06:59:47.220Z
sparky,259905608155660288,20057984,1548,15,1130,709650.1693999999,443617.0300000001,32.82004570347613,2023-02-24T02:21:23.896Z
Fifox42,wobLfrnlfmbym5xwUpqrae9dqA23,5963325,1486,15,1072,257277.47,66294.607,33.98859948177282,2023-10-16T11:41:48.151Z
asd,w26hDlBjhlZ8TmdfXTGm6ouHSmD2,10560567,1403,14,954,405748.089,222214.31361,25,2023-03-29T19:30:33.444Z
Egan34,clrhxjz3y06tnrl0i0j8af9l7,4481329,1491,15,997,186705.53,102491.26,44.86701325411317,2024-01-17T15:20:53.374Z
Campaign,clrg193b2070dpq0ibnqywt31,2788335,779,10,637,121097.19,26303.506,52.10862251150774,2024-01-16T07:28:51.710Z
trevor2,clr9gwnvu01w1oy0i82zjmovq,4434331,984,12,834,178778.92,23599.984,47.03930833815807,2024-01-11T17:12:42.475Z
66-odis2,clr5v8yrf00vpod0j3bh2pi8a,4097120,1235,13,862,171368.3,66238.8,44.51610517696826,2024-01-09T04:43:06.364Z
blue-warren,clr0vc0de00ayrf0i0f4xj0eq,2897169,838,10,622,122447.13,32152.93,43.35853530149406,2024-01-05T16:46:37.538Z
top.Chanson,clr07kolx000psd0jxdkix2l2,3664560,864,11,728,154186.88,17625.022,47.92311264356399,2024-01-05T05:41:31.413Z
Spiralbard,clqcnobcy00jmrw0ifcwq1ubu,6437335,1334,14,985,266501.26,35718.185,32.45783843126271,2023-12-19T18:05:46.498Z
sad_Lioness,clris1elc07cirl0iuacrk1z7,2643647,919,11,640,109953.08,55971.959,53.77208923311052,2024-01-18T05:34:15.072Z
Wandy,clr3dsi57019qso0i42t5sbz3,7321914,1335,14,1079,291549.93,22136.41,41.03161157602256,2024-01-07T10:58:52.507Z
BRet,clqtl9s1l0564rm0ivem21lf1,2475390,768,10,591,103124.77,36245.76,46.19923843894801,2023-12-31T14:30:34.042Z
beitz,clqox2lkk036dpv0igbyjkx0q,17222385,4799,30,2070,803026.2000000001,468903.4400000001,39.40397134178788,2023-12-28T08:02:03.572Z
jonas0,clqn0bt5r02jgrp0hfgk2k7tq,5674050,1222,13,966,230224.32,37386.90270000001,42.3353775635849,2023-12-26T23:57:39.807Z
lane1,clqc0u64m001wrw0ienvothg1,6793789,1204,13,928,272141.09,281.9103929999999,38.49077037841501,2023-12-19T07:26:28.487Z
63_espino,clqacy0jb003vpt0i7o4oo1gr,9165822,1932,18,1182,401126.3000000001,115340.4230999999,31.08652483742687,2023-12-18T03:29:50.903Z
YueLin,TSJvtQ4bXBeGZNpUM5OjOpa7xMC2,10636108,2389,20,1645,439610.61,141594.306,25,2023-09-17T08:10:00.472Z
flo,Hk239HDkaeRXg9d4ZBLFMcHwnRK2,3446617,1171,13,841,151983.25,75375.14,25,2023-10-20T15:26:29.974Z
mr bush,3ALi9cWHQCMjzONFjVIaK2G8US02,4504824,1542,15,986,191271.62,105279.09,47.75243461614007,2024-01-09T16:27:25.339Z
otis3,clqrdqyxr03uzrp0haueh6hiy,3169564,1323,14,1164,145686.82,113190.72,41.9006185131594,2023-12-30T01:24:26.848Z
signal-cave,clqomxttj02znpv0i6132h87c,6355884,1196,13,924,258398.41,11461.1666,40.9893349400222,2023-12-28T03:18:24.824Z
Blank.abort,clqkqsuvs01nrpv0i1n95ae3a,4643027,981,12,856,193023.06,26116.587,41.41567820540084,2023-12-25T09:55:26.680Z
dale,clqckvoz000girw0i3lif2pf5,4031380,829,10,637,167401.83,19563.354,33.29111367298672,2023-12-19T16:47:31.884Z
Jerrod,clpr1p6zj003or90i27xg0mh4,14429627,2669,21,1859,595627.3700000001,72663.08950000003,29.16549664947568,2023-12-04T15:07:26.239Z
Guest5193161,clpgmx66z012crb0jsnh3cxq0,5751241,1248,13,849,226245.1100000001,43041.29140000001,43.26286557046138,2023-11-27T08:16:02.459Z
Guest1055161,clnokjcgm01grqy0i69xsv1qz,5537053,1645,16,1437,237167.53,70572.682,32.47322629515448,2023-10-13T12:12:02.903Z
tcoy,IvhWY6v7GbX0coqYmF10tONvg2J2,9399080,1520,15,1093,359732.1800000001,125118.07,25,2023-09-06T17:46:49.616Z
poephaan,5HTWM3D0SXgFCLnuxmqke5gw4vJ2,3647350,1017,12,786,156113.96,49712.381,25,2023-10-17T13:34:39.172Z
brigitte,clrdy5tjs042vrl0izt3b9yqp,5804792,1308,14,944,237731.92,46034.15999999998,42.81131387115908,2024-01-14T20:26:47.896Z
Milford676,clr5wfp9w00x4od0js3e9py9v,7885999,1408,14,1088,295942.08,41139.04010000001,35.88228498462542,2024-01-09T05:16:20.277Z
Belovo234,clr2loykg013mso0iaw16t9mo,3303861,1086,12,745,143322.57,70262.71,46.56481254417839,2024-01-06T21:52:17.920Z
delano6,clqsbhm7x0446rp0hcv542fiw,5837119,1094,12,876,232645.27,21526.623,37.81828547740009,2023-12-30T17:08:57.405Z
will,clqlgmgil02o3rm0iunzri7fo,1861738,646,9,528,79420.49,35279.76,50.93176692185455,2023-12-25T21:58:18.142Z
Dewclaw,clqhq2kz500twrm0iur288yuu,5883430,1052,12,908,236309.92,9774.4575,36.06046337951641,2023-12-23T07:11:42.258Z
lush-Alkali,clqcmv76q00iarw0iz8xx5c3q,4675969,935,11,732,186502.5,17569.7246,34.88056921456137,2023-12-19T17:43:08.066Z
melamie,clpvr5w3700dbpx0i0fnmqxgn,2703056,715,9,622,120475.19,19389.641,48.99471366337188,2023-12-07T22:11:20.371Z
Guest407267,clp2qegio001srb0jpl76vikt,4140947,1012,12,814,172472.8,41336.245,45.52535146800778,2023-11-17T14:44:41.377Z
Gosha,6sqjxi1XcPVLsuYesyNMQ6V51qo2,22421671,964,11,689,801796.43071,402929.603,25,2023-04-25T13:56:34.607Z
KeTjOwTM,5xkSM51rjyLlM1KxeeJNXBDTQvr1,2791722,731,10,608,118882.95,19835.4877,35.26097599048041,2023-12-06T08:13:24.715Z
VStarzz,teUVgy01bcTj2W7dDjCWBhRCwMJ3,4910202,883,11,653,184629.505,114848.077,25,2023-09-17T05:09:18.467Z
szybcior,hA99ap200nRdFeaZkch2vp97gBz2,5108443,1364,14,885,219543.78,90501.59,27.29087537103281,2023-10-21T16:23:43.187Z
Ananas,fRnpVcstHnaCmhRD8lhyXdMdC1q1,4720944,878,11,842,194776.25,19269.339,25,2023-11-16T09:37:34.436Z
usfngm,dQJK3MJJy2VD6q3wysXEDvs2zVB3,2411121,788,10,555,104316.57,50726.29,42.54690830046727,2023-11-28T14:07:40.120Z
huey,clre615ep06dkoy0ia8k1knzx,9861591,1660,16,1319,373125.0900000001,47518.86599999997,34.76875029440933,2024-01-15T00:07:06.914Z
lazaro772,clrbvumx202u7rl0i1krmbcb7,2640790,806,10,587,106904.6,49999.14000000001,42.71411372885417,2024-01-13T09:46:34.502Z
red.academe,clr9l9kn10251oy0iesveux7z,2505125,571,8,540,100890.5,10442.801,45.54897293764218,2024-01-11T19:14:43.261Z
osvAldO,clr8zfxzj00hwpq0iqysotl6n,5251095,1231,13,936,208134.6,57863.661,43.0620695446679,2024-01-11T09:03:48.944Z
windrow,clr4ixexo001uod0jh91m0uj6,4007904,790,10,1256,163044.37,3436.35,35.44250716519281,2024-01-08T06:10:25.885Z
Jehius,clr4ihj560011od0jnj8ea6bg,2164472,723,9,539,90574.03,43497.98,44.67044133800352,2024-01-08T05:58:04.842Z
disini,clr39clbv00xism0j3sprbew4,6954357,1404,14,1148,287158.86,48296.727,38.74895191857723,2024-01-07T08:54:31.675Z
TresS6,clqth91e3053yrm0ihsqc02gx,4364952,1075,12,801,181540.3,46823.52299999999,44.33500200382183,2023-12-31T12:38:01.035Z
generate,clqnipcs202nhpv0ivbdyjoul,4663963,1012,12,819,190269.52,46008.36000000001,34.35899404284374,2023-12-27T08:32:04.850Z
perky-Hazen,clqkditxh01pdrp0hcnkis2pt,7183739,1209,13,975,292685.3399999999,0,34.35366530499952,2023-12-25T03:43:43.877Z
Guest7619488,clpi4pweu0190rb0jkc3n7iby,5535228,1446,15,997,232559.8000000001,85044.721,29.81441603634375,2023-11-28T09:22:02.454Z
Guest8155813,clp8gu3th009cr80hjf3qmlwq,5474459,1399,14,945,230404.65,63667.05599999999,48.96054296501639,2023-11-21T15:03:32.310Z
Guest9622416,clp2redme000lr80hafoifalp,5680822,1713,16,1155,242391.3,101884.18,45.97174014685758,2023-11-17T15:12:37.239Z
SUS,ONIPVjYV6bccT1utLzmSuK5HCD83,2747230,762,10,667,117603.2,38129.07000000001,25,2023-10-11T13:42:01.692Z
chinker,L5rduAgopbfUsK7XaX5F0yLrdD73,5783684,1686,16,1076,255590.49,138647.8699999999,25,2023-09-25T19:12:40.474Z
blinky,983571108735385690,3721271,1357,14,807,169782.58,112032.84,44.45705286273939,2023-12-03T11:08:52.168Z
tribakedpotato,7Va3UqdOSeUieIgascyBMSfNHT82,43703333,1063,12,889,1428180.127978,860700.3130000001,35.81765563268868,2023-03-27T13:52:44.389Z
ryy,4ykhoFj6ATQs0Y5xa3mE2gymN232,5361113,1094,12,775,234441.17,132720.71,44.55208823272154,2023-02-20T06:21:45.017Z
Samtlogik,368810033523195905,2197510,664,9,525,92590.56,29555.999,42.83144968323712,2023-10-16T07:14:37.095Z
Shadowexe,1156389322585550858,6712004,2182,19,1301,285859.86,179204.59,39.82468561463163,2024-01-04T01:27:55.997Z
PyaPaya,zsRdXtQ7EDhG8gVTnr5IoYiBCyr1,3277748,916,11,738,137515.58,57287.944,25,2023-11-03T19:22:55.527Z
sam1,xp2fdRPvqeeO1q1aGs5BnAW35ce2,2869695,1042,12,729,123429.75,75382.78,42.93437865117607,2023-10-13T06:39:07.436Z
Caplin,clrjril0i0co5oy0iagag92n9,1671175,424,7,370,65272.43,10896.448,55.42284621779552,2024-01-18T22:07:23.107Z
dry.flexion,clrjecs4n0bqpoy0iekk6duqq,1960412,458,7,431,76832.99,14147.82,46.08856528969774,2024-01-18T15:58:57.384Z
spondee54,clrfpuvvd04oprl0i49xiy30n,5396367,1259,13,923,216809.02,56310.0054,38.20362214800898,2024-01-16T02:09:53.113Z
goon,clrdudrvl0669pq0iig2v1zt9,2314997,676,9,515,98769.9,33133.098,50.34393577339986,2024-01-14T18:41:00.514Z
Genial-Jim,clrc8qlzz04q9oy0i9h7doh11,6443030,1044,12,980,248800.94,1464.4201,34.77713397129592,2024-01-13T15:47:21.695Z
Bare.Eliseo,clrbzpfic02y0rl0i10my11s6,8955884,1655,16,1252,351684.7000000001,59672.36599999999,36.41043256399201,2024-01-13T11:34:30.084Z
candidpaul,clrb37g7l03rvoy0io1o4uolf,3725813,690,9,584,147287.79,4822.81049,44.43428942027528,2024-01-12T20:24:43.473Z
HArland,clr6qr1qw01wzqb0i0tfyddve,4965958,884,11,676,194228.92,5634.97483,41.84388579466322,2024-01-09T19:24:58.137Z
Leonel86,clr69t54q01cqqb0i5v205xpi,3996879,737,10,700,163795.5,45.5529,42.73066128170537,2024-01-09T11:30:42.363Z
nasty_cecil,clr63seic015yod0jsjuprml9,1886188,617,9,543,79690.81999999999,39572.34,39.91748170628826,2024-01-09T08:42:10.164Z
pasquaLe,clqx8o75q05n8rp0hx061ckl9,1925417,606,8,416,80254.15000000001,34232.5,41.85351130366328,2024-01-03T03:48:56.511Z
Dennis0,clqx58igm05m2rp0hsjwgz3ul,2436700,537,8,479,102630.35,9328.149,48.6056540032472,2024-01-03T02:12:45.814Z
Giddy.Sybyl,clqpa46ta03erpv0i3cf051ih,3826925,1005,12,765,158155.27,53424.08,43.90156367352269,2023-12-28T14:07:12.766Z
Beep0,clqmaosa2029kpv0i1s5addhn,1547405,496,7,377,65265.25000000001,24825.81,53.74918983372086,2023-12-26T11:59:55.178Z
New.Chesser,clqlxpb820218pv0ifkf67ial,4419725,1046,12,812,189237.93,37177.35599999999,42.81495345882465,2023-12-26T05:56:24.722Z
Genesa0,clqkgotdi01qorp0hwgfjy39d,6787707,1101,12,904,273336.07,0,35.27801891905889,2023-12-25T05:12:21.942Z
azilian,clqeibwl7008omx0ikdxlpzld,4560728,987,12,827,189152.9,40034.171,36.64881635763652,2023-12-21T01:11:41.755Z
silveira,clqdnhbds00b3tc0jrccnj6yi,4945014,951,11,779,201847.86,21179.0907,34.2104058050841,2023-12-20T10:48:06.112Z
normal-eric,clqd2c57g000htu0idzanvq8j,5730453,1262,14,974,229008.41,54949.315,35.36795171277213,2023-12-20T00:56:12.893Z
merchant,clq2s30ix001yrh0kkc74gte3,5730425,1009,12,870,224873.35,15476.51912,31.99157499397091,2023-12-12T20:11:29.001Z
Patricia,clpwts8r9001nsb0iy874y0l9,2907913,677,9,546,120099.58,21560,33.28308141122598,2023-12-08T16:12:28.629Z
Lightish,clpqmwvkk0007r90iljp4fqle,5667880,1104,12,856,230254.98,30784.211,30.83051286868365,2023-12-04T08:13:30.452Z
Guest6310063,clpk3ylo801n6rb0jfcm15u8a,2281702,813,10,587,99784.68,50497.92999999999,47.99031784307994,2023-11-29T18:36:21.176Z
Guest4776635,clp2r9hq9000lto0hxyljwddi,5372599,1446,15,1049,234435.11,68674.55300000001,48.30389282500189,2023-11-17T15:08:49.281Z
mariuszplatyna,YWf8uQj8WpXfDdo3EdnHNsdBT9L2,4658353,1348,14,928,199288.1200000001,81864.11,36.27940814474947,2023-11-28T09:01:29.070Z
GYATTTTTTTTTT,T6ilt9DlfmfZ4qWqUUzKcaQjU5n1,3225962,762,10,632,123992.180393,45405.49000000001,25,2023-09-07T15:20:31.181Z
edps lil cupcake,HtVsLAHtG2VQxQJhO4YCoTiSAh42,4078748,1016,12,738,172331.73,53221.19100000001,32.39549580809139,2023-12-17T00:03:58.001Z
yungster,6lWBzrPT9DgOYUaLHerzUIvNU7o1,6576313,1783,17,1075,278710.3099999999,133021.1615,38.75648128371024,2024-01-09T20:42:05.829Z
Shadowblade,1109048539486625833,12651293,707,9,530,426333.191616,145766.419,25,2023-08-24T06:06:53.328Z
Torretod,xsURd1tfuyQo7bQLzDCq8o1bXm62,1402857,457,7,408,63305.65,22247.02,44.89975533116696,2023-09-26T11:32:47.197Z
n_word33,sW3Wax2444Nn0N976UanKNvdL8n1,7059407,1066,12,841,271871.42884,85846.9911,25,2023-09-13T19:29:57.505Z
JerryLoveBurrito,lb8waSLdmogE71Vjd39fJ60E6YC3,4877636,1344,14,890,206153.47,76320.69399999999,43.0674406521931,2024-01-09T03:02:45.815Z
Pineapples,ftAIu2vQTvPw8jW73cEaIArGAcj2,2972003,820,10,573,121204.81,39547.378,43.18632641795129,2023-12-19T04:35:37.106Z
Ribald,clrjh42mh0clzpq0iku50c06l,1859102,540,8,456,77805.76,26445.68000000001,45.62654298669194,2024-01-18T17:16:09.929Z
native.dion,clrhwz6he09x0pq0izceu2hg9,4652977,768,10,666,176446.99,310.0514,35.13060527464394,2024-01-17T15:04:43.155Z
Much_armand,clrczefk305kvoy0iq05c09fr,3299780,761,10,550,129720.43,31558.85,43.51267929224452,2024-01-14T04:13:43.107Z
much_Holzer,clrb3rqcf03e8pq0itul98fjs,2199118,443,7,413,89641.05000000002,17.6289,39.13047704627827,2024-01-12T20:40:29.727Z
sneaky-Ira,clr9emjkr01rsoy0idv72c31r,3072772,789,10,616,123758.93,35952.511,45.90109882069293,2024-01-11T16:08:51.100Z
lupe,clr8a9spf0063pq0i0uazs0yz,3142659,661,9,588,126250.09,21514.17100000001,39.88528572471157,2024-01-10T21:19:11.763Z
eliseo,clr7kr1l2003os70inukaaye9,1688434,373,6,338,65587.49,0,48.21095221597448,2024-01-10T09:24:46.407Z
franklin26,clr6rbt1j01y8qb0iqpxbqvrr,4660763,907,11,724,191106.7899999999,17282.7458,43.89064653475521,2024-01-09T19:41:06.632Z
Milton,clr6hxeio01ynop0hdg6vpc2r,1619989,451,7,372,67565.13,20253.53,43.17646907186926,2024-01-09T15:17:58.080Z
jonah,clr3oe0vc01g4so0ik9h978ux,3913438,674,9,621,151180.3,23.1076,34.89656300867652,2024-01-07T15:55:32.713Z
Punak4,clr1tzd7q00h4sm0jo06jhpe7,4445947,1012,12,764,179974.73,43798.64800000001,37.55904409213519,2024-01-06T08:56:34.215Z
Loire62,clr0un0oo00a7rf0itj31b4yc,2676405,601,8,502,111416.19,16489.63200000001,37.46581380789444,2024-01-05T16:27:11.545Z
